,Month,Fortified,Red ,Rose ,sparkling ,Sweet white,Dry white
0,Jan-80,2585,464,112,1686,85,1954
1,Feb-80,3368,675,118,1591,89,2302
2,Mar-80,3210,703,129,2304,109,3054
3,Apr-80,3111,887,99,1712,95,2414
4,May-80,3756,1139,116,1471,91,2226
5,Jun-80,4216,1077,168,1377,95,2725
6,Jul-80,5225,1318,118,1966,96,2589
7,Aug-80,4426,1260,129,2453,128,3470
8,Sep-80,3932,1120,205,1984,124,2400
9,Oct-80,3816,963,147,2596,111,3180
10,Nov-80,3661,996,150,4087,178,4009
11,Dec-80,3795,960,267,5179,140,3924
12,Jan-81,2285,530,126,1530,150,2072
13,Feb-81,2934,883,129,1523,132,2434
14,Mar-81,2985,894,124,1633,155,2956
15,Apr-81,3646,1045,97,1976,132,2828
16,May-81,4198,1199,102,1170,91,2687
17,Jun-81,4935,1287,127,1480,94,2629
18,Jul-81,5618,1565,222,1781,109,3150
19,Aug-81,5454,1577,214,2472,155,4119
20,Sep-81,3624,1076,118,1981,123,3030
21,Oct-81,2898,918,141,2273,130,3055
22,Nov-81,3802,1008,154,3857,150,3821
23,Dec-81,3629,1063,226,4551,163,4001
24,Jan-82,2369,544,89,1510,101,2529
25,Feb-82,2511,635,77,1329,123,2472
26,Mar-82,3079,804,82,1518,127,3134
27,Apr-82,3728,980,97,1790,112,2789
28,May-82,4151,1018,127,1537,108,2758
29,Jun-82,4326,1064,121,1449,116,2993
30,Jul-82,5054,1404,117,1954,153,3282
31,Aug-82,5138,1286,117,1897,163,3437
32,Sep-82,3310,1104,106,1706,128,2804
33,Oct-82,3508,999,112,2514,142,3076
34,Nov-82,3790,996,134,3593,170,3782
35,Dec-82,3446,1015,169,4524,214,3889
36,Jan-83,2127,615,75,1609,134,2271
37,Feb-83,2523,722,108,1638,122,2452
38,Mar-83,3017,832,115,2030,142,3084
39,Apr-83,3265,977,85,1375,156,2522
40,May-83,3822,1270,101,1320,145,2769
41,Jun-83,4027,1437,108,1245,169,3438
42,Jul-83,4420,1520,109,1600,134,2839
43,Aug-83,5255,1708,124,2298,165,3746
44,Sep-83,4009,1151,105,2191,156,2632
45,Oct-83,3074,934,95,2511,111,2851
46,Nov-83,3465,1159,135,3440,165,3871
47,Dec-83,3718,1209,164,4923,197,3618
48,Jan-84,1954,699,88,1609,124,2389
49,Feb-84,2604,830,85,1435,124,2344
50,Mar-84,3626,996,112,2061,139,2678
51,Apr-84,2836,1124,87,1789,137,2492
52,May-84,4042,1458,91,1567,127,2858
53,Jun-84,3584,1270,87,1404,134,2246
54,Jul-84,4225,1753,87,1597,136,2800
55,Aug-84,4523,2258,142,3159,171,3869
56,Sep-84,2892,1208,95,1759,112,3007
57,Oct-84,2876,1241,108,2504,110,3023
58,Nov-84,3420,1265,139,4273,147,3907
59,Dec-84,3159,1828,159,5274,196,4209
60,Jan-85,2101,809,61,1771,112,2353
61,Feb-85,2181,997,82,1682,118,2570
